#	datafile Path	C:\data\asr\17060530.dat
#	datafile Name	17060530.dat
#	Download date	2017-06-05  
#	download Time	20:02:17
#	Software name	(@) ASRdown_tools.c
#	software Revision	76
#	software date	2004 January 12
#	ASR software version	R392d.MSA
#
#	? location where ASR was operated ? 
#	ceh rooftop June 5 2017 L8 & RE1
#	
#	? weather conditions ? 
#	very nice all day, some wv gradient to the W
#	
#	? ASR operator name ? 
#	daaron all times utc
#	
#	? observations and comments ? 
#	
#	
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   9785	ambient	    0
CHANNEL         2  10897	barometer	65535
CHANNEL         3  16606	humidity	65535
CHANNEL         4  18527
CHANNEL         5  24290
CHANNEL         6  31929
CHANNEL         7  43155
CHANNEL         8  42896
CHANNEL         9   6051
CHANNEL        10  29469
TIME         12  :  19  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1  10047	ambient	    0
CHANNEL         2  11112	barometer	65535
CHANNEL         3  16857	humidity	65535
CHANNEL         4  18668
CHANNEL         5  24500
CHANNEL         6  32118
CHANNEL         7  43405
CHANNEL         8  43141
CHANNEL         9   6167
CHANNEL        10  29648
TIME         12  :  20  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1  10285	ambient	    0
CHANNEL         2  11287	barometer	65535
CHANNEL         3  17057	humidity	65535
CHANNEL         4  18813
CHANNEL         5  24641
CHANNEL         6  32308
CHANNEL         7  43492
CHANNEL         8  43158
CHANNEL         9   6269
CHANNEL        10  29624
TIME         12  :  21  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1  10485	ambient	    0
CHANNEL         2  11404	barometer	65535
CHANNEL         3  17220	humidity	65535
CHANNEL         4  18850
CHANNEL         5  24745
CHANNEL         6  32320
CHANNEL         7  43620
CHANNEL         8  43138
CHANNEL         9   6319
CHANNEL        10  29639
TIME         12  :  22  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1  10718	ambient	    0
CHANNEL         2  11624	barometer	65535
CHANNEL         3  17450	humidity	65535
CHANNEL         4  19080
CHANNEL         5  24819
CHANNEL         6  32428
CHANNEL         7  43587
CHANNEL         8  43166
CHANNEL         9   6360
CHANNEL        10  29678
TIME         12  :  23  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1  10962	ambient	    0
CHANNEL         2  11821	barometer	65535
CHANNEL         3  17709	humidity	65535
CHANNEL         4  19236
CHANNEL         5  24990
CHANNEL         6  32545
CHANNEL         7  43672
CHANNEL         8  43302
CHANNEL         9   6430
CHANNEL        10  29716
TIME         12  :  24  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1  11171	ambient	    0
CHANNEL         2  12016	barometer	65535
CHANNEL         3  17840	humidity	65535
CHANNEL         4  19330
CHANNEL         5  25166
CHANNEL         6  32655
CHANNEL         7  43728
CHANNEL         8  43297
CHANNEL         9   6526
CHANNEL        10  29726
TIME         12  :  25  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1  11428	ambient	    0
CHANNEL         2  12163	barometer	65535
CHANNEL         3  18101	humidity	65535
CHANNEL         4  19527
CHANNEL         5  25354
CHANNEL         6  32822
CHANNEL         7  43849
CHANNEL         8  43403
